PLAYER_ID,PLAYER_NAME,TEAM_ID,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING
1631260,AJ Green,1610612749,56,11.0,3.5,114.0,110.5
203932,Aaron Gordon,1610612743,73,31.5,8.7,119.8,111.1
1628988,Aaron Holiday,1610612745,78,16.3,2.9,110.5,107.6
1630174,Aaron Nesmith,1610612754,72,27.7,4.3,119.3,115.0
1630598,Aaron Wiggins,1610612760,78,15.7,5.7,115.6,110.0
201143,Al Horford,1610612738,65,26.8,11.4,120.9,109.5
202692,Alec Burks,1610612752,66,18.4,-10.7,107.8,118.5
1630197,Aleksej Pokusevski,1610612766,28,14.5,-9.7,103.5,113.2
1627936,Alex Caruso,1610612741,71,28.7,0.3,110.9,110.6
1630578,Alperen Sengun,1610612745,63,32.5,0.8,113.9,113.2
1641708,Amen Thompson,1610612745,62,22.4,2.1,111.4,109.3
1629599,Amir Coffey,1610612746,70,20.9,-3.4,114.6,118.0
203083,Andre Drummond,1610612741,79,17.1,0.8,114.1,113.3
1641748,Andre Jackson Jr.,1610612749,57,10.0,-7.3,112.3,119.6
1629614,Andrew Nembhard,1610612754,68,25.0,2.2,116.1,114.0
203952,Andrew Wiggins,1610612744,71,27.0,-1.3,114.9,116.3
1629014,Anfernee Simons,1610612757,46,34.4,-10.6,109.9,120.5
1641710,Anthony Black,1610612753,69,16.9,-1.0,108.0,108.9
203076,Anthony Davis,1610612747,76,35.5,2.6,116.5,114.0
1630162,Anthony Edwards,1610612750,79,35.1,7.3,115.8,108.5
1629717,Armoni Brooks,1610612751,10,10.4,13.7,127.7,114.0
1630204,Ashton Hagans,1610612757,19,16.6,-1.1,105.3,106.5
1641709,Ausar Thompson,1610612765,63,25.1,-5.3,107.7,113.1
1630559,Austin Reaves,1610612747,82,32.1,-1.0,114.6,115.6
1630245,Ayo Dosunmu,1610612741,76,29.1,-3.3,111.6,114.9
1628389,Bam Adebayo,1610612748,71,34.0,0.8,110.1,109.3
1641767,Ben Sheppard,1610612754,57,14.3,4.7,118.8,114.2
1627732,Ben Simmons,1610612751,15,23.9,-3.4,109.6,113.0
1631097,Bennedict Mathurin,1610612754,59,26.1,-2.9,115.0,117.9
1641731,Bilal Coulibaly,1610612764,63,27.2,-11.0,107.4,118.4
202687,Bismack Biyombo,1610612760,40,19.8,-3.8,110.2,114.1
1631104,Blake Wesley,1610612759,61,14.4,-7.8,104.6,112.4
1626171,Bobby Portis,1610612749,82,24.5,-0.1,115.9,116.0
