PLAYER_ID,PLAYER_NAME,TEAM_ID,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING
201985,AJ Price,1610612739,26,12.4,-10.0,94.4,104.5
201166,Aaron Brooks,1610612741,82,23.0,5.0,107.2,102.1
203932,Aaron Gordon,1610612753,47,17.0,-7.9,97.9,105.8
203940,Adreian Payne,1610612750,32,23.1,-17.0,98.8,115.8
201143,Al Horford,1610612737,76,30.5,6.7,107.5,100.8
2744,Al Jefferson,1610612766,65,30.6,-3.4,99.8,103.2
202329,Al-Farouq Aminu,1610612742,74,18.5,5.3,105.6,100.3
101187,Alan Anderson,1610612751,74,23.6,-1.0,100.0,101.1
202692,Alec Burks,1610612762,27,33.3,-7.2,105.1,112.3
203458,Alex Len,1610612756,69,22.0,-0.3,102.5,102.9
203144,Alexey Shved,1610612752,42,18.3,-9.1,96.0,105.1
201582,Alexis Ajinca,1610612740,68,14.1,-0.2,103.0,103.2
203459,Allen Crabbe,1610612757,51,13.4,-2.0,98.9,100.9
202087,Alonzo Gee,1610612757,54,12.2,-6.1,99.9,106.1
2405,Amar'e Stoudemire,1610612742,59,21.1,-2.5,103.8,106.3
101161,Amir Johnson,1610612761,75,26.4,1.8,107.6,105.8
2760,Anderson Varejao,1610612739,26,24.4,0.1,105.8,105.7
203083,Andre Drummond,1610612765,82,30.5,-0.6,104.9,105.5
2738,Andre Iguodala,1610612744,77,26.9,10.5,108.5,98.0
1889,Andre Miller,1610612758,81,15.5,-4.8,102.6,107.4
203460,Andre Roberson,1610612760,67,19.2,5.6,105.9,100.3
200745,Andrea Bargnani,1610612752,29,27.1,-18.2,94.6,112.8
101106,Andrew Bogut,1610612744,67,23.6,16.9,112.6,95.7
203094,Andrew Nicholson,1610612753,40,12.3,-9.7,95.5,105.2
203952,Andrew Wiggins,1610612750,82,36.2,-9.7,101.5,111.3
203461,Anthony Bennett,1610612750,57,15.7,-16.4,96.9,113.3
203076,Anthony Davis,1610612740,68,36.1,6.1,109.9,103.8
201627,Anthony Morrow,1610612760,74,24.4,5.1,106.9,101.8
201229,Anthony Tolliver,1610612765,76,18.9,3.2,106.5,103.3
203462,Archie Goodwin,1610612756,41,13.0,-14.7,91.7,106.3
203382,Aron Baynes,1610612759,70,16.0,6.8,104.3,97.5
201167,Arron Afflalo,1610612757,78,32.1,-0.2,106.3,106.4
201948,Austin Daye,1610612737,34,10.1,-4.4,98.4,102.8
203085,Austin Rivers,1610612746,76,20.6,-3.6,100.4,104.0
202340,Avery Bradley,1610612738,77,31.5,-1.1,101.7,102.8
2732,Ben Gordon,1610612753,56,14.1,-9.9,96.0,106.0
203463,Ben McLemore,1610612758,82,32.6,-0.6,104.8,105.4
2757,Beno Udrih,1610612763,79,18.9,-0.5,100.5,101.0
202687,Bismack Biyombo,1610612766,64,19.4,-1.1,98.2,99.3
201933,Blake Griffin,1610612746,67,35.2,12.2,116.9,104.7
202711,Bojan Bogdanovic,1610612751,78,23.8,-4.9,103.2,108.1
2564,Boris Diaw,1610612759,81,24.5,7.4,106.3,98.9
203078,Bradley Beal,1610612764,63,33.5,4.5,105.6,101.1
201148,Brandan Wright,1610612756,75,19.3,-0.1,103.1,103.2
101138,Brandon Bass,1610612738,82,23.5,-2.9,100.6,103.5
203561,Brandon Davies,1610612755,27,15.7,-18.0,94.7,112.7
201943,Brandon Jennings,1610612765,41,28.6,0.8,105.0,104.2
202688,Brandon Knight,1610612756,63,32.3,-1.7,100.9,102.6
203148,Brian Roberts,1610612766,72,18.5,-3.8,97.6,101.3
201572,Brook Lopez,1610612751,72,29.2,-3.2,103.2,106.3
203955,Bryce Cotton,1610612762,15,10.6,-1.8,98.8,100.6
201228,C.J. Watson,1610612754,57,24.9,-1.2,100.9,102.1
203468,CJ McCollum,1610612757,62,15.7,4.7,101.7,97.0
101139,CJ Miles,1610612754,70,26.3,3.8,103.1,99.3
201171,Carl Landry,1610612758,70,17.0,-8.8,98.6,107.4
2430,Carlos Boozer,1610612747,71,23.8,-9.3,101.2,110.6
2546,Carmelo Anthony,1610612752,40,35.7,-4.5,106.5,111.0
2406,Caron Butler,1610612765,78,20.8,-0.9,102.7,103.6
202718,Chandler Parsons,1610612742,66,33.1,4.0,109.0,105.0
101112,Channing Frye,1610612753,75,24.9,-6.9,100.3,107.2
101111,Charlie Villanueva,1610612742,64,10.6,-3.7,101.0,104.7
201978,Chase Budinger,1610612750,67,19.2,-9.3,98.9,108.2
2365,Chris Andersen,1610612748,60,18.9,-0.4,100.0,100.4
2547,Chris Bosh,1610612748,44,35.4,-4.1,101.6,105.8
203142,Chris Copeland,1610612754,50,16.5,-2.6,100.4,103.1
203187,Chris Johnson,1610612762,29,18.2,-3.2,97.2,100.4
2549,Chris Kaman,1610612757,74,18.9,-0.7,102.4,103.1
101108,Chris Paul,1610612746,82,34.8,12.7,116.7,104.0
203921,Cleanthony Early,1610612752,39,16.6,-12.3,90.5,102.8
203469,Cody Zeller,1610612766,62,24.0,1.2,101.2,100.0
202332,Cole Aldrich,1610612752,61,16.0,-13.5,91.6,105.1
201147,Corey Brewer,1610612745,80,26.1,-0.5,103.1,103.6
203928,Cory Jefferson,1610612751,50,10.6,8.2,102.9,94.7
202709,Cory Joseph,1610612759,79,18.3,6.2,103.9,97.7
201584,Courtney Lee,1610612763,77,30.6,2.2,105.4,103.2
