PLAYER_ID,PLAYER_NAME,TEAM_ID,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING
1630639,A.J. Lawson,1610612761,26,18.7,-1.4,109.7,111.1
1631260,AJ Green,1610612749,73,22.7,6.4,114.0,107.6
1642358,AJ Johnson,1610612764,29,22.0,-11.5,104.1,115.6
203932,Aaron Gordon,1610612743,51,28.4,9.5,122.5,113.0
1628988,Aaron Holiday,1610612745,62,12.8,6.7,110.3,103.6
1630174,Aaron Nesmith,1610612754,45,24.9,8.5,120.1,111.5
1630598,Aaron Wiggins,1610612760,76,22.9,14.2,120.7,106.6
1641737,Adem Bona,1610612755,58,15.6,-6.6,107.4,114.0
1642349,Ajay Mitchell,1610612760,36,16.6,9.7,110.0,100.2
201143,Al Horford,1610612738,60,27.6,11.5,119.6,108.1
202692,Alec Burks,1610612748,49,17.6,5.9,113.5,107.6
1627936,Alex Caruso,1610612760,54,19.3,15.0,117.5,102.5
1642024,Alex Reese,1610612755,15,14.4,5.5,117.3,111.8
1642259,Alex Sarr,1610612764,67,27.1,-13.7,102.7,116.4
1630578,Alperen Sengun,1610612745,76,31.5,7.6,114.9,107.4
1641708,Amen Thompson,1610612745,69,32.3,6.3,114.2,107.9
1629599,Amir Coffey,1610612746,72,24.3,-1.4,109.1,110.6
203083,Andre Drummond,1610612755,40,18.8,-15.5,103.4,118.9
1641748,Andre Jackson Jr.,1610612749,67,14.6,-1.5,110.6,112.1
1629614,Andrew Nembhard,1610612754,65,28.9,5.3,115.5,110.2
203952,Andrew Wiggins,1610612748,60,30.7,-2.3,109.4,111.7
1629014,Anfernee Simons,1610612757,70,32.7,-4.6,108.8,113.4
1641710,Anthony Black,1610612753,78,24.2,-0.9,106.2,107.1
203076,Anthony Davis,1610612742,51,33.4,0.5,113.3,112.9
1630162,Anthony Edwards,1610612750,79,36.3,4.8,116.2,111.4
1641810,Antonio Reeves,1610612740,44,15.0,-10.2,107.3,117.5
1641709,Ausar Thompson,1610612765,59,22.5,4.0,113.1,109.2
1630559,Austin Reaves,1610612747,73,34.9,3.8,117.1,113.3
1630245,Ayo Dosunmu,1610612741,46,30.3,-7.7,110.1,117.8
1628389,Bam Adebayo,1610612748,78,34.3,0.1,110.9,110.8
1631248,Baylor Scheierman,1610612738,31,12.4,4.1,109.9,105.8
1641767,Ben Sheppard,1610612754,63,19.5,-2.2,111.2,113.4
1627732,Ben Simmons,1610612746,51,22.0,-1.8,111.7,113.5
1631097,Bennedict Mathurin,1610612754,72,29.9,1.6,113.8,112.2
1641731,Bilal Coulibaly,1610612764,59,33.0,-13.8,104.5,118.3
202687,Bismack Biyombo,1610612759,28,18.8,-9.2,108.7,117.9
1631104,Blake Wesley,1610612759,58,11.8,0.5,110.2,109.7
1626171,Bobby Portis,1610612749,49,25.4,3.4,114.1,110.8
203992,Bogdan Bogdanović,1610612746,54,25.0,2.7,112.7,110.0
