TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,34.4,88.3,113.9,22.3,11.9,10.0,33.9
1610612738,Boston Celtics,37.1,87.4,111.8,20.9,13.6,10.5,35.5
1610612751,Brooklyn Nets,31.7,88.4,112.9,21.7,14.1,10.3,34.1
1610612766,Charlotte Hornets,38.2,91.4,115.3,21.4,13.3,10.8,33.7
1610612741,Chicago Bulls,28.8,86.9,111.6,21.5,12.8,8.7,33.7
1610612739,Cleveland Cavaliers,32.8,84.6,107.8,22.1,14.4,10.2,34.0
1610612742,Dallas Mavericks,37.4,85.1,108.0,21.2,12.5,9.3,33.8
1610612743,Denver Nuggets,35.9,86.3,112.7,21.0,14.5,9.2,34.9
1610612765,Detroit Pistons,34.6,88.6,104.8,22.0,14.2,11.0,32.0
1610612744,Golden State Warriors,39.4,86.4,111.0,20.3,14.9,9.8,35.7
1610612745,Houston Rockets,38.7,86.4,109.7,24.5,16.5,9.6,32.4
1610612754,Indiana Pacers,35.4,89.5,111.5,21.4,14.4,11.3,32.6
1610612746,LA Clippers,34.2,87.4,108.4,19.6,13.7,9.1,34.9
1610612747,Los Angeles Lakers,34.5,88.8,112.1,23.0,14.5,9.5,34.5
1610612763,Memphis Grizzlies,32.7,94.4,115.6,23.1,13.2,14.1,35.0
1610612748,Miami Heat,35.8,84.8,110.0,21.4,14.6,9.8,33.9
1610612749,Milwaukee Bucks,38.4,89.4,115.5,22.9,13.4,10.2,36.5
1610612750,Minnesota Timberwolves,41.3,91.0,115.9,23.1,14.3,11.2,32.9
1610612740,New Orleans Pelicans,32.1,88.0,109.3,23.2,14.1,12.0,33.2
1610612752,New York Knicks,36.9,86.2,106.5,24.1,13.3,11.5,34.6
1610612760,Oklahoma City Thunder,37.4,89.1,103.7,19.9,14.0,10.4,35.2
1610612753,Orlando Magic,36.9,88.3,104.2,19.7,14.5,9.1,35.2
1610612755,Philadelphia 76ers,31.8,84.5,109.9,23.8,12.5,8.5,33.8
1610612756,Phoenix Suns,31.9,90.1,114.8,19.9,12.9,9.8,35.5
1610612757,Portland Trail Blazers,36.8,87.1,106.2,21.6,14.5,10.4,32.5
1610612758,Sacramento Kings,33.2,88.1,110.3,23.3,14.1,9.6,33.4
1610612759,San Antonio Spurs,32.0,92.7,113.2,20.4,12.7,11.0,34.3
1610612761,Toronto Raptors,34.2,91.3,109.4,21.3,12.5,13.4,32.0
1610612762,Utah Jazz,40.3,86.2,113.6,23.4,14.0,10.8,35.6
1610612764,Washington Wizards,30.6,86.0,108.6,21.7,13.1,9.0,34.1
