TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,33.4,87.2,113.7,24.2,13.2,10.6,35.1
1610612738,Boston Celtics,36.4,88.9,112.6,20.8,14.1,10.6,33.6
1610612751,Brooklyn Nets,36.1,87.3,118.6,22.5,13.5,8.9,35.5
1610612766,Charlotte Hornets,37.0,87.8,109.5,20.9,14.8,10.6,33.2
1610612741,Chicago Bulls,34.0,88.6,110.7,17.5,15.1,9.6,35.3
1610612739,Cleveland Cavaliers,29.7,85.8,103.8,22.4,15.5,10.4,32.3
1610612742,Dallas Mavericks,38.1,87.3,112.4,21.2,12.1,9.1,34.2
1610612743,Denver Nuggets,34.2,89.2,115.1,19.5,13.5,10.5,33.9
1610612765,Detroit Pistons,32.9,85.6,106.6,23.4,14.9,9.6,33.1
1610612744,Golden State Warriors,38.7,88.2,113.7,21.1,15.0,8.0,35.1
1610612745,Houston Rockets,40.6,88.5,108.8,22.3,14.7,9.3,33.3
1610612754,Indiana Pacers,34.0,91.2,115.3,20.7,13.5,9.0,33.7
1610612746,LA Clippers,34.7,86.7,114.0,19.3,13.2,9.4,34.7
1610612747,Los Angeles Lakers,31.2,86.1,109.5,23.3,15.2,9.7,34.6
1610612763,Memphis Grizzlies,31.4,91.8,113.3,21.3,13.3,11.2,35.3
1610612748,Miami Heat,36.2,83.7,108.1,21.1,14.1,8.0,33.5
1610612749,Milwaukee Bucks,37.1,91.8,120.1,21.4,13.8,10.3,37.8
1610612750,Minnesota Timberwolves,37.6,90.9,112.1,23.1,14.3,10.5,33.0
1610612740,New Orleans Pelicans,30.4,89.1,114.6,26.1,14.6,11.7,35.7
1610612752,New York Knicks,30.0,86.5,107.0,20.9,12.9,9.7,35.5
1610612760,Oklahoma City Thunder,35.1,88.0,105.0,21.3,16.1,9.9,35.7
1610612753,Orlando Magic,31.8,89.2,104.0,21.4,12.8,10.4,35.1
1610612755,Philadelphia 76ers,30.1,86.9,113.6,25.5,14.4,10.0,35.0
1610612756,Phoenix Suns,34.6,88.3,115.3,18.7,12.5,8.8,34.2
1610612757,Portland Trail Blazers,40.8,91.1,116.1,21.6,11.1,10.6,33.9
1610612758,Sacramento Kings,33.3,88.6,113.7,22.0,13.4,9.4,32.0
1610612759,San Antonio Spurs,28.4,90.5,111.1,22.0,11.4,9.3,34.6
1610612761,Toronto Raptors,39.3,88.7,111.3,21.3,13.2,9.4,32.1
1610612762,Utah Jazz,43.0,88.1,116.4,21.5,14.2,10.6,37.6
1610612764,Washington Wizards,29.0,90.9,116.6,26.2,14.4,9.7,35.5
