TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,116.4,118.4,-2.0,100.84,36,46,0.439
1610612738,Boston Celtics,122.2,110.6,11.7,97.98,64,18,0.78
1610612751,Brooklyn Nets,112.4,115.4,-2.9,97.56,32,50,0.39
1610612766,Charlotte Hornets,108.6,119.2,-10.6,97.81,21,61,0.256
1610612741,Chicago Bulls,114.0,115.7,-1.7,96.94,39,43,0.476
1610612739,Cleveland Cavaliers,114.7,112.1,2.5,97.62,48,34,0.585
1610612742,Dallas Mavericks,117.0,114.9,2.1,100.6,50,32,0.61
1610612743,Denver Nuggets,117.8,112.3,5.5,97.43,57,25,0.695
1610612765,Detroit Pistons,109.0,118.0,-9.0,100.45,14,68,0.171
1610612744,Golden State Warriors,116.9,114.5,2.4,99.91,46,36,0.561
1610612745,Houston Rockets,113.7,112.8,0.9,99.59,41,41,0.5
1610612754,Indiana Pacers,120.5,117.6,2.9,102.16,47,35,0.573
1610612746,LA Clippers,117.9,114.6,3.4,97.93,51,31,0.622
1610612747,Los Angeles Lakers,115.4,114.8,0.6,101.38,47,35,0.573
1610612763,Memphis Grizzlies,106.8,113.7,-6.9,98.68,27,55,0.329
1610612748,Miami Heat,113.3,111.5,1.8,96.88,46,36,0.561
1610612749,Milwaukee Bucks,117.6,115.0,2.6,100.51,49,33,0.598
1610612750,Minnesota Timberwolves,114.6,108.4,6.3,97.79,56,26,0.683
1610612740,New Orleans Pelicans,116.5,111.9,4.6,98.7,49,33,0.598
1610612752,New York Knicks,117.3,112.4,4.9,95.96,50,32,0.61
1610612760,Oklahoma City Thunder,118.3,111.0,7.3,100.85,57,25,0.695
1610612753,Orlando Magic,112.9,110.8,2.2,97.37,47,35,0.573
1610612755,Philadelphia 76ers,116.2,113.0,3.1,98.17,47,35,0.573
1610612756,Phoenix Suns,116.8,113.7,3.1,99.0,49,33,0.598
1610612757,Portland Trail Blazers,107.6,116.6,-9.0,97.88,21,61,0.256
1610612758,Sacramento Kings,116.2,114.4,1.8,99.46,46,36,0.561
1610612759,San Antonio Spurs,109.3,115.6,-6.4,101.8,22,60,0.268
1610612761,Toronto Raptors,111.8,118.1,-6.3,99.91,25,57,0.305
1610612762,Utah Jazz,114.5,119.6,-5.1,100.26,31,51,0.378
1610612764,Washington Wizards,110.2,118.9,-8.7,103.07,15,67,0.183
