TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,36.1,90.6,111.8,23.4,16.2,9.9,33.4
1610612738,Boston Celtics,34.5,89.6,113.7,23.2,13.8,10.7,35.4
1610612751,Brooklyn Nets,38.1,90.3,111.8,24.1,15.3,10.6,37.3
1610612766,Charlotte Hornets,34.3,85.9,102.9,21.6,14.6,11.0,31.8
1610612741,Chicago Bulls,35.1,88.6,106.8,20.5,15.5,10.5,31.4
1610612739,Cleveland Cavaliers,31.8,87.9,106.9,19.9,16.5,10.8,33.4
1610612742,Dallas Mavericks,41.3,90.3,117.0,23.8,12.7,10.5,36.4
1610612743,Denver Nuggets,30.6,88.9,111.3,20.9,13.8,10.8,33.4
1610612765,Detroit Pistons,32.7,85.7,107.2,22.4,15.3,9.8,32.0
1610612744,Golden State Warriors,31.3,88.2,106.3,23.2,14.9,10.0,32.9
1610612745,Houston Rockets,45.3,90.4,117.8,26.1,14.7,9.8,34.5
1610612754,Indiana Pacers,28.0,88.5,109.4,19.1,13.2,8.7,34.1
1610612746,LA Clippers,33.5,89.2,116.3,26.3,14.6,10.7,37.0
1610612747,Los Angeles Lakers,31.6,88.3,113.4,24.3,15.2,10.7,35.1
1610612763,Memphis Grizzlies,31.5,90.9,112.6,21.8,15.2,10.3,36.2
1610612748,Miami Heat,35.4,84.4,112.0,25.2,14.9,8.5,35.9
1610612749,Milwaukee Bucks,38.9,90.9,118.7,24.7,15.1,9.5,42.2
1610612750,Minnesota Timberwolves,39.7,91.6,113.3,25.4,15.3,10.5,34.3
1610612740,New Orleans Pelicans,36.9,91.6,115.8,23.4,16.4,11.1,35.4
1610612752,New York Knicks,28.4,89.3,105.8,23.5,14.3,12.0,34.5
1610612760,Oklahoma City Thunder,30.2,85.5,110.4,24.8,13.7,8.2,34.7
1610612753,Orlando Magic,32.2,88.6,107.3,22.7,12.8,10.3,34.2
1610612755,Philadelphia 76ers,31.6,87.9,110.7,22.4,14.2,10.5,35.0
1610612756,Phoenix Suns,31.8,88.1,113.6,23.8,14.8,9.8,33.8
1610612757,Portland Trail Blazers,34.1,91.2,115.0,22.1,12.8,10.2,35.1
1610612758,Sacramento Kings,34.9,88.4,110.1,20.3,14.5,9.7,32.9
1610612759,San Antonio Spurs,28.5,89.4,114.1,23.4,12.6,9.0,35.6
1610612761,Toronto Raptors,37.0,87.9,112.8,23.2,14.8,9.5,35.9
1610612762,Utah Jazz,35.2,85.1,111.3,22.8,15.1,9.1,35.8
1610612764,Washington Wizards,32.6,90.9,114.4,24.6,14.2,10.2,31.9
