TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,37.7,92.5,118.3,23.2,13.5,12.5,32.2
1610612738,Boston Celtics,42.5,90.2,120.6,20.2,11.9,10.7,35.6
1610612751,Brooklyn Nets,36.7,89.1,110.4,20.9,13.1,11.4,32.6
1610612766,Charlotte Hornets,34.0,87.0,106.6,18.4,13.8,9.3,31.0
1610612741,Chicago Bulls,32.1,89.5,112.3,21.1,12.2,11.2,32.6
1610612739,Cleveland Cavaliers,36.8,87.2,112.6,20.4,13.6,9.8,33.4
1610612742,Dallas Mavericks,39.5,89.7,117.9,22.5,12.5,9.7,33.2
1610612743,Denver Nuggets,31.2,88.8,114.9,19.9,12.6,10.7,33.7
1610612765,Detroit Pistons,31.7,88.2,109.9,21.7,15.2,10.5,32.8
1610612744,Golden State Warriors,38.9,91.6,117.8,20.0,14.3,12.1,34.6
1610612745,Houston Rockets,36.1,91.0,114.3,23.4,12.7,11.5,34.0
1610612754,Indiana Pacers,35.3,92.7,123.3,20.5,12.9,10.1,31.4
1610612746,LA Clippers,33.2,86.7,115.6,22.2,13.1,10.0,32.9
1610612747,Los Angeles Lakers,31.4,87.5,118.0,24.2,14.0,8.2,34.9
1610612763,Memphis Grizzlies,37.8,88.2,105.8,21.0,15.1,10.9,31.7
1610612748,Miami Heat,33.7,85.6,110.1,22.0,12.7,9.3,33.0
1610612749,Milwaukee Bucks,38.1,88.5,119.0,23.9,12.9,9.4,34.8
1610612750,Minnesota Timberwolves,32.7,85.0,113.0,22.9,14.2,9.4,34.2
1610612740,New Orleans Pelicans,32.6,87.4,115.1,22.8,13.0,10.4,33.6
1610612752,New York Knicks,35.8,88.7,112.8,21.8,13.2,12.7,32.5
1610612760,Oklahoma City Thunder,34.2,89.3,120.1,21.5,12.7,8.8,33.2
1610612753,Orlando Magic,31.3,84.9,110.5,24.4,14.7,10.5,31.8
1610612755,Philadelphia 76ers,33.3,89.4,114.6,23.6,12.0,11.0,31.9
1610612756,Phoenix Suns,32.6,86.1,116.2,23.4,14.9,10.1,33.9
1610612757,Portland Trail Blazers,33.2,89.7,106.4,20.5,15.2,12.6,30.1
1610612758,Sacramento Kings,39.3,90.9,116.6,20.9,13.1,10.8,33.2
1610612759,San Antonio Spurs,36.4,90.7,112.1,20.0,15.1,10.4,33.9
1610612761,Toronto Raptors,33.1,89.7,112.4,21.6,14.0,10.9,31.8
1610612762,Utah Jazz,36.5,89.9,115.7,22.6,15.7,12.2,33.2
1610612764,Washington Wizards,35.5,91.4,113.7,20.2,14.0,9.2,31.9
