TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,107.5,113.1,-5.5,104.56,29,53,0.354
1610612738,Boston Celtics,111.3,107.0,4.3,100.43,49,33,0.598
1610612751,Brooklyn Nets,108.9,109.0,-0.1,101.52,42,40,0.512
1610612766,Charlotte Hornets,110.7,112.0,-1.3,99.18,39,43,0.476
1610612741,Chicago Bulls,104.5,112.8,-8.3,99.3,22,60,0.268
1610612739,Cleveland Cavaliers,106.8,116.8,-10.0,97.37,19,63,0.232
1610612742,Dallas Mavericks,108.7,110.1,-1.5,99.6,33,49,0.402
1610612743,Denver Nuggets,112.1,108.1,4.0,98.49,54,28,0.659
1610612765,Detroit Pistons,108.4,108.7,-0.3,97.88,41,41,0.5
1610612744,Golden State Warriors,115.0,108.6,6.5,101.74,57,25,0.695
1610612745,Houston Rockets,114.9,110.1,4.8,98.39,53,29,0.646
1610612754,Indiana Pacers,109.4,106.0,3.4,98.64,48,34,0.585
1610612746,LA Clippers,111.4,110.4,1.0,102.66,48,34,0.585
1610612747,Los Angeles Lakers,107.4,108.9,-1.6,103.6,37,45,0.451
1610612763,Memphis Grizzlies,105.6,108.0,-2.4,97.15,33,49,0.402
1610612748,Miami Heat,106.7,107.1,-0.4,98.73,39,43,0.476
1610612749,Milwaukee Bucks,113.5,104.9,8.6,103.57,60,22,0.732
1610612750,Minnesota Timberwolves,110.6,112.2,-1.6,100.88,36,46,0.439
1610612740,New Orleans Pelicans,110.7,112.0,-1.3,103.89,33,49,0.402
1610612752,New York Knicks,104.0,112.9,-8.9,100.16,17,65,0.207
1610612760,Oklahoma City Thunder,109.8,106.5,3.4,103.38,49,33,0.598
1610612753,Orlando Magic,108.2,107.6,0.6,98.65,42,40,0.512
1610612755,Philadelphia 76ers,111.6,109.0,2.6,102.59,51,31,0.622
1610612756,Phoenix Suns,105.3,114.2,-8.9,101.15,19,63,0.232
1610612757,Portland Trail Blazers,113.7,109.5,4.2,99.96,53,29,0.646
1610612758,Sacramento Kings,109.6,110.8,-1.2,103.88,39,43,0.476
1610612759,San Antonio Spurs,112.2,110.6,1.6,98.88,48,34,0.585
1610612761,Toronto Raptors,112.6,106.8,5.8,100.51,58,24,0.707
1610612762,Utah Jazz,110.3,105.3,5.0,100.84,50,32,0.61
1610612764,Washington Wizards,110.2,112.9,-2.7,102.23,32,50,0.39
