TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,107.0,114.4,-7.4,103.28,20,47,0.299
1610612738,Boston Celtics,112.8,106.5,6.3,99.92,48,24,0.667
1610612751,Brooklyn Nets,108.7,109.2,-0.5,101.7,35,37,0.486
1610612766,Charlotte Hornets,105.9,112.8,-7.0,96.24,23,42,0.354
1610612741,Chicago Bulls,105.8,108.9,-3.1,100.46,22,43,0.338
1610612739,Cleveland Cavaliers,106.9,114.8,-7.9,99.17,19,46,0.292
1610612742,Dallas Mavericks,115.9,111.2,4.8,99.89,43,32,0.573
1610612743,Denver Nuggets,112.6,110.4,2.2,97.64,46,27,0.63
1610612765,Detroit Pistons,108.8,112.3,-3.5,97.86,20,46,0.303
1610612744,Golden State Warriors,104.4,113.0,-8.6,101.04,15,50,0.231
1610612745,Houston Rockets,112.5,109.8,2.7,104.04,44,28,0.611
1610612754,Indiana Pacers,109.5,107.5,1.9,99.41,45,28,0.616
1610612746,LA Clippers,113.3,106.9,6.3,102.16,49,23,0.681
1610612747,Los Angeles Lakers,111.7,106.1,5.6,101.2,52,19,0.732
1610612763,Memphis Grizzlies,108.7,109.7,-1.0,103.31,34,39,0.466
1610612748,Miami Heat,111.9,109.3,2.7,98.7,44,29,0.603
1610612749,Milwaukee Bucks,111.9,102.5,9.4,105.51,56,17,0.767
1610612750,Minnesota Timberwolves,107.6,111.6,-4.0,103.94,19,45,0.297
1610612740,New Orleans Pelicans,110.5,111.8,-1.3,103.89,30,42,0.417
1610612752,New York Knicks,105.9,112.4,-6.5,99.11,21,45,0.318
1610612760,Oklahoma City Thunder,110.1,108.1,2.1,99.42,44,28,0.611
1610612753,Orlando Magic,107.9,109.2,-1.3,98.99,33,40,0.452
1610612755,Philadelphia 76ers,110.7,108.4,2.3,99.59,43,30,0.589
1610612756,Phoenix Suns,111.3,110.8,0.5,101.74,34,39,0.466
1610612757,Portland Trail Blazers,113.2,114.3,-1.1,101.17,35,39,0.473
1610612758,Sacramento Kings,109.5,111.4,-1.9,99.6,31,41,0.431
1610612759,San Antonio Spurs,111.7,112.6,-0.9,101.14,32,39,0.451
1610612761,Toronto Raptors,110.8,104.7,6.1,101.19,53,19,0.736
1610612762,Utah Jazz,111.8,109.3,2.5,99.15,44,28,0.611
1610612764,Washington Wizards,110.2,114.7,-4.5,103.38,25,47,0.347
