TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,39.5,92.0,118.5,21.5,14.2,11.0,32.6
1610612738,Boston Celtics,42.1,90.2,114.9,18.7,12.4,12.5,33.9
1610612751,Brooklyn Nets,38.4,84.5,105.9,23.0,15.8,10.3,29.0
1610612766,Charlotte Hornets,43.3,88.9,116.0,21.7,15.4,12.8,33.3
1610612741,Chicago Bulls,40.1,90.5,116.3,22.2,15.3,10.4,34.7
1610612739,Cleveland Cavaliers,39.8,90.0,119.5,23.9,14.0,11.7,32.7
1610612742,Dallas Mavericks,31.9,89.8,114.1,25.8,14.5,10.5,34.2
1610612743,Denver Nuggets,35.8,87.8,122.1,25.8,12.9,9.8,34.2
1610612765,Detroit Pistons,30.9,89.5,117.8,26.1,15.1,13.1,32.5
1610612744,Golden State Warriors,44.1,88.8,114.6,21.1,15.7,11.4,31.0
1610612745,Houston Rockets,31.5,89.8,115.2,23.4,15.4,15.0,33.1
1610612754,Indiana Pacers,37.6,89.1,112.4,22.5,14.5,9.8,32.1
1610612746,LA Clippers,33.8,83.6,113.8,24.7,14.3,9.6,31.0
1610612747,Los Angeles Lakers,32.9,83.7,116.3,26.8,14.5,9.4,31.5
1610612763,Memphis Grizzlies,39.5,90.6,114.7,22.8,15.1,11.2,31.0
1610612748,Miami Heat,37.9,93.3,120.9,25.0,13.7,11.8,34.5
1610612749,Milwaukee Bucks,39.1,85.5,110.6,19.1,15.2,8.9,31.8
1610612750,Minnesota Timberwolves,37.2,88.5,118.0,25.3,14.8,11.1,33.0
1610612740,New Orleans Pelicans,32.1,90.5,115.5,25.7,14.2,12.2,31.7
1610612752,New York Knicks,38.2,89.4,116.5,21.3,13.6,12.7,32.9
1610612760,Oklahoma City Thunder,37.9,89.1,119.0,23.2,12.6,9.6,34.6
1610612753,Orlando Magic,34.1,88.3,115.7,27.5,14.2,11.0,32.4
1610612755,Philadelphia 76ers,35.3,90.3,115.9,24.8,13.6,11.8,31.8
1610612756,Phoenix Suns,40.8,90.1,112.6,20.3,14.5,13.0,30.1
1610612757,Portland Trail Blazers,42.2,90.1,115.5,25.2,17.3,14.1,31.9
1610612758,Sacramento Kings,30.2,89.0,111.0,22.8,14.3,11.5,30.8
1610612759,San Antonio Spurs,37.9,89.9,119.8,24.6,13.5,11.4,35.6
1610612761,Toronto Raptors,32.1,88.4,114.6,23.4,13.7,10.9,31.2
1610612762,Utah Jazz,36.7,91.1,117.6,25.3,15.5,12.0,31.8
1610612764,Washington Wizards,36.4,90.4,112.9,21.2,15.7,11.0,30.9
