TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,104.6,100.8,3.9,97.63,48,34,0.585
1610612738,Boston Celtics,105.8,102.5,3.3,99.43,48,34,0.585
1610612751,Brooklyn Nets,102.4,109.7,-7.4,96.12,21,61,0.256
1610612766,Charlotte Hornets,106.4,103.7,2.7,96.24,48,34,0.585
1610612741,Chicago Bulls,104.1,105.5,-1.4,96.6,42,40,0.512
1610612739,Cleveland Cavaliers,110.2,103.9,6.3,93.82,57,25,0.695
1610612742,Dallas Mavericks,105.5,105.9,-0.4,95.34,42,40,0.512
1610612743,Denver Nuggets,104.9,108.2,-3.3,96.34,33,49,0.402
1610612765,Detroit Pistons,105.3,104.9,0.3,95.75,44,38,0.537
1610612744,Golden State Warriors,113.5,102.8,10.6,100.24,73,9,0.89
1610612745,Houston Rockets,107.3,107.3,0.0,98.42,41,41,0.5
1610612754,Indiana Pacers,103.8,102.2,1.6,97.35,45,37,0.549
1610612746,LA Clippers,107.2,102.7,4.5,96.81,53,29,0.646
1610612747,Los Angeles Lakers,100.7,110.3,-9.7,96.55,17,65,0.207
1610612763,Memphis Grizzlies,104.7,107.1,-2.4,93.95,42,40,0.512
1610612748,Miami Heat,105.5,103.7,1.7,94.14,48,34,0.585
1610612749,Milwaukee Bucks,103.4,107.8,-4.5,95.05,33,49,0.402
1610612750,Minnesota Timberwolves,105.4,109.0,-3.5,96.2,29,53,0.354
1610612740,New Orleans Pelicans,104.8,108.4,-3.7,97.64,30,52,0.366
1610612752,New York Knicks,103.9,106.7,-2.8,94.12,32,50,0.39
1610612760,Oklahoma City Thunder,112.1,104.8,7.4,97.54,55,27,0.671
1610612753,Orlando Magic,104.4,106.0,-1.6,96.68,35,47,0.427
1610612755,Philadelphia 76ers,98.4,108.6,-10.2,98.44,10,72,0.122
1610612756,Phoenix Suns,101.5,107.9,-6.5,99.39,23,59,0.28
1610612757,Portland Trail Blazers,107.6,106.8,0.8,97.06,44,38,0.537
1610612758,Sacramento Kings,105.3,107.6,-2.3,100.66,33,49,0.402
1610612759,San Antonio Spurs,109.3,98.2,11.1,94.54,67,15,0.817
1610612761,Toronto Raptors,109.3,104.8,4.4,93.35,56,26,0.683
1610612762,Utah Jazz,105.0,103.2,1.8,91.66,40,42,0.488
1610612764,Washington Wizards,104.5,105.1,-0.5,99.16,41,41,0.5
