TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,26.2,81.7,102.5,21.2,14.2,8.7,31.8
1610612738,Boston Celtics,24.6,87.9,101.4,20.5,13.8,11.1,32.7
1610612751,Brooklyn Nets,19.9,83.0,98.0,22.2,13.8,10.3,32.0
1610612766,Charlotte Hornets,19.1,84.5,94.2,22.8,11.9,10.0,34.1
1610612741,Chicago Bulls,22.3,82.9,100.8,25.2,14.0,11.7,34.0
1610612739,Cleveland Cavaliers,27.5,82.2,103.1,23.6,14.3,11.1,31.9
1610612742,Dallas Mavericks,25.4,85.8,105.2,22.5,13.0,10.5,31.8
1610612743,Denver Nuggets,24.8,87.3,101.5,24.3,14.2,12.3,32.4
1610612765,Detroit Pistons,24.9,85.8,98.5,22.4,13.4,12.8,32.1
1610612744,Golden State Warriors,27.0,87.0,110.0,20.8,14.5,10.4,34.3
1610612745,Houston Rockets,32.7,83.3,103.9,26.0,16.7,11.7,32.0
1610612754,Indiana Pacers,21.2,83.2,97.3,22.2,14.0,10.4,34.4
1610612746,Los Angeles Clippers,26.9,83.3,106.7,25.2,12.3,9.6,33.1
1610612747,Los Angeles Lakers,18.9,85.6,98.5,23.6,13.2,11.6,32.3
1610612763,Memphis Grizzlies,15.2,82.5,98.3,22.8,13.3,10.4,32.1
1610612748,Miami Heat,20.2,77.2,94.7,23.7,14.8,9.1,30.0
1610612749,Milwaukee Bucks,18.3,82.0,97.8,21.1,16.7,10.7,31.4
1610612750,Minnesota Timberwolves,14.9,83.2,97.8,25.7,15.0,11.6,29.3
1610612740,New Orleans Pelicans,19.3,82.9,99.4,21.8,13.3,11.5,32.0
1610612752,New York Knicks,19.7,82.0,91.9,19.2,14.7,10.6,29.8
1610612760,Oklahoma City Thunder,22.7,86.8,104.0,24.6,14.7,12.8,34.7
1610612753,Orlando Magic,19.5,82.8,95.7,19.1,14.9,10.0,31.8
1610612755,Philadelphia 76ers,26.3,82.6,92.0,23.8,17.7,11.9,30.9
1610612756,Phoenix Suns,25.0,85.8,102.4,21.5,15.1,10.9,32.2
1610612757,Portland Trail Blazers,27.2,86.0,102.8,19.4,13.6,10.7,35.1
1610612758,Sacramento Kings,16.5,80.7,101.3,29.3,16.3,10.9,33.3
1610612759,San Antonio Spurs,22.5,83.6,103.2,21.4,14.0,9.8,33.8
1610612761,Toronto Raptors,25.1,83.3,104.0,24.6,12.9,10.7,30.8
1610612762,Utah Jazz,21.7,79.2,95.1,23.5,15.3,12.0,31.9
1610612764,Washington Wizards,16.8,82.8,98.5,21.4,15.0,10.5,34.2
