TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,115.5,115.4,0.1,101.56,41,41,0.5
1610612738,Boston Celtics,117.3,110.6,6.7,99.15,57,25,0.695
1610612751,Brooklyn Nets,114.6,113.5,1.1,98.77,45,37,0.549
1610612766,Charlotte Hornets,108.4,114.7,-6.3,101.47,27,55,0.329
1610612741,Chicago Bulls,112.8,111.5,1.3,99.18,40,42,0.488
1610612739,Cleveland Cavaliers,115.5,109.9,5.6,96.27,51,31,0.622
1610612742,Dallas Mavericks,115.9,116.1,-0.2,97.21,38,44,0.463
1610612743,Denver Nuggets,116.8,113.5,3.3,98.74,53,29,0.646
1610612765,Detroit Pistons,109.9,117.8,-7.9,99.88,17,65,0.207
1610612744,Golden State Warriors,115.1,113.4,1.7,102.54,44,38,0.537
1610612745,Houston Rockets,110.5,118.6,-8.1,99.74,22,60,0.268
1610612754,Indiana Pacers,113.8,117.1,-3.3,101.68,35,47,0.427
1610612746,LA Clippers,114.0,113.6,0.5,98.84,44,38,0.537
1610612747,Los Angeles Lakers,113.9,113.2,0.7,101.92,43,39,0.524
1610612763,Memphis Grizzlies,114.7,110.7,4.0,101.5,51,31,0.622
1610612748,Miami Heat,112.3,112.8,-0.5,96.76,44,38,0.537
1610612749,Milwaukee Bucks,114.3,110.9,3.4,101.45,58,24,0.707
1610612750,Minnesota Timberwolves,113.3,113.1,0.2,101.55,42,40,0.512
1610612740,New Orleans Pelicans,113.8,112.0,1.9,99.58,42,40,0.512
1610612752,New York Knicks,117.0,114.2,2.8,97.75,47,35,0.573
1610612760,Oklahoma City Thunder,114.2,113.2,1.0,101.94,40,42,0.488
1610612753,Orlando Magic,111.3,113.7,-2.3,99.66,34,48,0.415
1610612755,Philadelphia 76ers,117.0,112.7,4.4,97.44,54,28,0.659
1610612756,Phoenix Suns,114.5,112.3,2.2,98.83,45,37,0.549
1610612757,Portland Trail Blazers,114.0,118.0,-4.0,99.25,33,49,0.402
1610612758,Sacramento Kings,118.6,116.0,2.6,100.99,48,34,0.585
1610612759,San Antonio Spurs,109.7,119.6,-9.9,102.07,22,60,0.268
1610612761,Toronto Raptors,114.6,113.1,1.5,97.85,41,41,0.5
1610612762,Utah Jazz,115.3,116.0,-0.7,101.02,37,45,0.451
1610612764,Washington Wizards,113.7,114.9,-1.2,99.16,35,47,0.427
