TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,104.5,105.2,-0.7,97.76,43,39,0.524
1610612738,Boston Celtics,110.6,108.0,2.6,97.21,53,29,0.646
1610612751,Brooklyn Nets,103.6,110.1,-6.5,101.75,20,62,0.244
1610612766,Charlotte Hornets,108.4,108.4,0.0,95.92,36,46,0.439
1610612741,Chicago Bulls,106.5,106.2,0.3,96.02,41,41,0.5
1610612739,Cleveland Cavaliers,112.8,109.7,3.1,96.74,51,31,0.622
1610612742,Dallas Mavericks,104.7,107.7,-3.0,93.11,33,49,0.402
1610612743,Denver Nuggets,112.2,111.7,0.4,99.18,40,42,0.488
1610612765,Detroit Pistons,105.3,106.7,-1.4,95.52,37,45,0.451
1610612744,Golden State Warriors,114.8,103.4,11.4,100.37,67,15,0.817
1610612745,Houston Rockets,114.1,108.4,5.7,100.55,55,27,0.671
1610612754,Indiana Pacers,107.9,108.1,-0.2,96.59,42,40,0.512
1610612746,LA Clippers,111.8,107.5,4.4,96.77,51,31,0.622
1610612747,Los Angeles Lakers,105.3,112.0,-6.7,99.26,26,56,0.317
1610612763,Memphis Grizzlies,107.0,106.5,0.5,92.84,43,39,0.524
1610612748,Miami Heat,107.4,106.4,1.0,95.51,41,41,0.5
1610612749,Milwaukee Bucks,108.5,108.7,-0.2,94.99,42,40,0.512
1610612750,Minnesota Timberwolves,110.0,110.9,-0.9,95.48,31,51,0.378
1610612740,New Orleans Pelicans,104.7,106.8,-2.1,98.56,34,48,0.415
1610612752,New York Knicks,107.1,110.7,-3.6,96.63,31,51,0.378
1610612760,Oklahoma City Thunder,107.9,107.1,0.8,98.18,47,35,0.573
1610612753,Orlando Magic,103.7,110.3,-6.5,96.9,29,53,0.354
1610612755,Philadelphia 76ers,102.7,108.2,-5.5,99.07,28,54,0.341
1610612756,Phoenix Suns,106.1,111.3,-5.2,100.85,24,58,0.293
1610612757,Portland Trail Blazers,109.4,110.0,-0.6,97.38,41,41,0.5
1610612758,Sacramento Kings,106.6,110.8,-4.2,95.42,32,50,0.39
1610612759,San Antonio Spurs,110.3,102.9,7.4,94.86,61,21,0.744
1610612761,Toronto Raptors,111.4,107.1,4.3,95.41,51,31,0.622
1610612762,Utah Jazz,109.0,104.7,4.3,92.09,51,31,0.622
1610612764,Washington Wizards,110.4,108.8,1.7,97.94,49,33,0.598
