TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,26.1,84.4,103.2,24.9,15.8,10.3,34.1
1610612738,Boston Celtics,33.4,85.1,108.0,23.2,13.3,9.1,32.9
1610612751,Brooklyn Nets,31.6,85.2,105.8,24.6,16.5,8.8,35.1
1610612766,Charlotte Hornets,28.6,85.4,104.9,23.8,11.5,8.8,34.8
1610612741,Chicago Bulls,22.3,87.1,102.9,22.5,13.6,12.2,34.1
1610612739,Cleveland Cavaliers,33.9,84.9,110.3,23.3,13.7,9.3,34.4
1610612742,Dallas Mavericks,30.2,82.3,97.9,18.5,11.9,7.9,30.7
1610612743,Denver Nuggets,28.8,87.7,111.7,24.2,15.0,11.8,34.6
1610612765,Detroit Pistons,23.4,88.8,101.3,19.3,11.9,11.1,34.6
1610612744,Golden State Warriors,31.2,87.1,115.9,22.6,14.8,9.4,35.0
1610612745,Houston Rockets,40.3,87.2,115.3,26.5,15.1,10.9,33.5
1610612754,Indiana Pacers,23.0,84.5,105.1,22.1,13.8,9.0,33.0
1610612746,LA Clippers,27.4,83.2,108.7,26.0,13.0,9.0,34.0
1610612747,Los Angeles Lakers,25.7,87.4,104.6,22.6,15.2,11.4,32.1
1610612763,Memphis Grizzlies,26.5,83.6,100.5,23.4,12.9,10.8,32.0
1610612748,Miami Heat,27.0,85.8,103.2,21.6,13.4,10.6,33.0
1610612749,Milwaukee Bucks,23.7,81.9,103.6,22.4,14.0,8.8,31.6
1610612750,Minnesota Timberwolves,21.0,84.4,105.6,24.2,14.0,11.4,31.0
1610612740,New Orleans Pelicans,26.8,87.0,104.3,22.3,12.9,8.6,35.1
1610612752,New York Knicks,24.7,88.5,104.3,21.1,13.9,12.0,33.2
1610612760,Oklahoma City Thunder,25.8,87.4,106.6,25.8,15.0,12.2,34.4
1610612753,Orlando Magic,26.1,87.0,101.1,21.4,13.3,9.8,33.3
1610612755,Philadelphia 76ers,29.8,85.3,102.4,22.0,16.7,9.8,33.0
1610612756,Phoenix Suns,22.6,88.5,107.7,26.3,15.4,11.9,33.1
1610612757,Portland Trail Blazers,27.7,86.1,107.9,23.7,13.7,10.1,33.5
1610612758,Sacramento Kings,23.9,82.1,102.8,23.3,14.6,8.7,32.3
1610612759,San Antonio Spurs,23.5,83.7,105.3,22.0,13.4,10.0,33.9
1610612761,Toronto Raptors,24.3,84.4,106.9,24.7,12.7,10.6,32.6
1610612762,Utah Jazz,26.0,79.5,100.7,22.9,13.6,9.4,33.8
1610612764,Washington Wizards,24.8,87.0,109.2,22.1,14.2,10.3,32.6
