TEAM_ID,TEAM_NAME,FG3A,FGA
1610612737,Atlanta Hawks,30.5,92.4
1610612738,Boston Celtics,42.6,88.8
1610612751,Brooklyn Nets,33.8,85.1
1610612766,Charlotte Hornets,32.5,90.4
1610612741,Chicago Bulls,28.9,86.8
1610612739,Cleveland Cavaliers,31.6,85.2
1610612742,Dallas Mavericks,41.0,84.3
1610612743,Denver Nuggets,31.2,86.4
1610612765,Detroit Pistons,32.4,87.1
1610612744,Golden State Warriors,43.2,90.2
1610612745,Houston Rockets,31.9,88.9
1610612754,Indiana Pacers,37.0,89.6
1610612746,LA Clippers,33.3,86.1
1610612747,Los Angeles Lakers,31.2,89.0
1610612763,Memphis Grizzlies,34.2,92.1
1610612748,Miami Heat,34.8,85.3
1610612749,Milwaukee Bucks,40.3,90.4
1610612750,Minnesota Timberwolves,33.3,87.4
1610612740,New Orleans Pelicans,30.1,87.6
1610612752,New York Knicks,35.7,89.4
1610612760,Oklahoma City Thunder,34.1,92.6
1610612753,Orlando Magic,31.1,86.3
1610612755,Philadelphia 76ers,32.6,83.8
1610612756,Phoenix Suns,32.6,90.1
1610612757,Portland Trail Blazers,35.3,85.4
1610612758,Sacramento Kings,37.3,88.2
1610612759,San Antonio Spurs,32.2,92.6
1610612761,Toronto Raptors,32.0,91.3
1610612762,Utah Jazz,37.8,89.8
1610612764,Washington Wizards,31.7,86.9
