TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,28.4,84.4,102.8,20.0,15.0,8.3,33.8
1610612738,Boston Celtics,26.1,89.2,105.7,23.5,13.7,11.6,33.3
1610612751,Brooklyn Nets,18.4,84.4,98.6,20.7,14.8,10.5,31.9
1610612766,Charlotte Hornets,29.4,84.4,103.4,23.7,12.5,9.0,35.0
1610612741,Chicago Bulls,21.4,87.4,101.6,21.0,13.9,11.1,35.2
1610612739,Cleveland Cavaliers,29.6,84.0,104.3,21.7,13.6,10.6,33.9
1610612742,Dallas Mavericks,28.6,84.1,102.3,22.3,12.8,9.2,33.9
1610612743,Denver Nuggets,23.7,85.4,101.9,24.1,14.7,11.5,33.1
1610612765,Detroit Pistons,26.2,86.4,102.0,25.5,13.5,12.5,33.9
1610612744,Golden State Warriors,31.6,87.3,114.9,21.8,15.2,10.0,36.2
1610612745,Houston Rockets,30.9,83.5,106.5,29.4,15.9,11.3,31.7
1610612754,Indiana Pacers,23.0,85.2,102.2,22.8,14.9,10.3,33.9
1610612746,LA Clippers,26.7,82.4,104.5,26.2,13.0,8.8,33.3
1610612747,Los Angeles Lakers,24.6,84.8,97.3,24.7,13.7,10.7,32.3
1610612763,Memphis Grizzlies,18.5,83.6,99.1,24.7,13.3,11.2,30.5
1610612748,Miami Heat,18.0,81.7,100.0,23.0,14.1,9.8,34.3
1610612749,Milwaukee Bucks,15.6,82.2,99.0,22.7,15.2,10.5,31.2
1610612750,Minnesota Timberwolves,16.4,81.3,102.4,27.0,15.0,10.0,31.5
1610612740,New Orleans Pelicans,23.8,85.9,102.7,22.2,13.4,9.5,33.1
1610612752,New York Knicks,21.5,84.0,98.4,21.4,13.4,10.4,34.0
1610612760,Oklahoma City Thunder,23.7,86.4,110.2,25.2,15.9,13.1,35.6
1610612753,Orlando Magic,22.2,86.8,102.1,20.1,14.1,10.3,33.0
1610612755,Philadelphia 76ers,27.5,84.0,97.4,22.6,16.4,9.5,31.8
1610612756,Phoenix Suns,25.8,85.6,100.9,23.2,17.2,11.5,33.3
1610612757,Portland Trail Blazers,28.5,85.9,105.1,23.0,14.6,11.6,33.9
1610612758,Sacramento Kings,22.4,86.4,106.6,25.5,16.2,10.6,33.7
1610612759,San Antonio Spurs,18.5,82.9,103.5,20.4,13.1,9.4,34.5
1610612761,Toronto Raptors,23.4,81.3,102.7,26.7,13.1,10.2,33.2
1610612762,Utah Jazz,23.9,80.4,97.7,23.0,14.9,10.7,32.5
1610612764,Washington Wizards,24.2,85.8,104.1,22.5,14.5,9.1,32.8
