TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,113.7,114.8,-1.1,103.41,40,42,0.488
1610612738,Boston Celtics,119.5,110.1,9.4,96.59,61,21,0.744
1610612751,Brooklyn Nets,108.1,115.4,-7.3,96.73,26,56,0.317
1610612766,Charlotte Hornets,106.7,115.7,-9.1,98.22,19,63,0.232
1610612741,Chicago Bulls,113.2,114.8,-1.6,103.61,39,43,0.476
1610612739,Cleveland Cavaliers,121.0,111.8,9.2,100.31,64,18,0.78
1610612742,Dallas Mavericks,113.7,115.0,-1.3,100.15,39,43,0.476
1610612743,Denver Nuggets,118.9,115.1,3.8,100.67,50,32,0.61
1610612765,Detroit Pistons,114.6,112.5,2.1,100.27,44,38,0.537
1610612744,Golden State Warriors,114.2,111.0,3.2,99.37,48,34,0.585
1610612745,Houston Rockets,114.9,110.3,4.6,99.03,52,30,0.634
1610612754,Indiana Pacers,115.4,113.3,2.1,100.76,50,32,0.61
1610612746,LA Clippers,114.3,109.4,4.9,98.24,50,32,0.61
1610612747,Los Angeles Lakers,115.0,113.8,1.2,98.34,50,32,0.61
1610612763,Memphis Grizzlies,117.2,112.6,4.7,103.69,48,34,0.585
1610612748,Miami Heat,112.4,112.0,0.4,97.08,37,45,0.451
1610612749,Milwaukee Bucks,115.1,112.7,2.4,99.92,48,34,0.585
1610612750,Minnesota Timberwolves,115.7,110.8,5.0,97.95,49,33,0.598
1610612740,New Orleans Pelicans,109.7,119.1,-9.4,99.77,21,61,0.256
1610612752,New York Knicks,117.3,113.3,4.0,97.64,51,31,0.622
1610612760,Oklahoma City Thunder,119.2,106.6,12.7,100.9,68,14,0.829
1610612753,Orlando Magic,108.9,109.1,-0.2,96.51,41,41,0.5
1610612755,Philadelphia 76ers,111.0,117.3,-6.3,98.13,24,58,0.293
1610612756,Phoenix Suns,114.7,117.7,-3.0,98.31,36,46,0.439
1610612757,Portland Trail Blazers,111.0,113.7,-2.7,99.51,36,46,0.439
1610612758,Sacramento Kings,115.9,115.3,0.6,98.91,40,42,0.488
1610612759,San Antonio Spurs,113.5,116.3,-2.8,100.08,34,48,0.415
1610612761,Toronto Raptors,109.6,113.6,-4.1,100.62,30,52,0.366
1610612762,Utah Jazz,110.2,119.4,-9.2,100.85,17,65,0.207
1610612764,Washington Wizards,105.8,118.0,-12.2,101.82,18,64,0.22
