TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,104.4,110.1,-5.7,98.76,24,58,0.293
1610612738,Boston Celtics,106.8,103.2,3.6,96.75,55,27,0.671
1610612751,Brooklyn Nets,106.1,109.7,-3.6,99.66,28,54,0.341
1610612766,Charlotte Hornets,109.0,109.0,-0.1,98.66,36,46,0.439
1610612741,Chicago Bulls,103.4,110.5,-7.0,98.65,27,55,0.329
1610612739,Cleveland Cavaliers,112.0,111.1,1.0,98.72,50,32,0.61
1610612742,Dallas Mavericks,105.4,108.4,-2.9,96.53,24,58,0.293
1610612743,Denver Nuggets,111.4,110.0,1.4,97.69,46,36,0.561
1610612765,Detroit Pistons,106.6,106.7,-0.1,96.75,39,43,0.476
1610612744,Golden State Warriors,112.8,106.8,5.9,100.35,58,24,0.707
1610612745,Houston Rockets,114.1,105.7,8.4,98.02,65,17,0.793
1610612754,Indiana Pacers,108.5,107.3,1.3,96.84,48,34,0.585
1610612746,LA Clippers,109.4,109.2,0.2,99.54,42,40,0.512
1610612747,Los Angeles Lakers,106.0,107.3,-1.3,100.9,35,47,0.427
1610612763,Memphis Grizzlies,103.6,110.4,-6.8,95.65,22,60,0.268
1610612748,Miami Heat,106.2,105.8,0.4,96.1,44,38,0.537
1610612749,Milwaukee Bucks,109.0,109.1,-0.2,97.03,44,38,0.537
1610612750,Minnesota Timberwolves,112.5,110.2,2.3,96.75,47,35,0.573
1610612740,New Orleans Pelicans,108.5,107.4,1.1,101.48,48,34,0.585
1610612752,New York Knicks,106.3,109.7,-3.4,97.64,29,53,0.354
1610612760,Oklahoma City Thunder,110.1,106.4,3.7,97.34,48,34,0.585
1610612753,Orlando Magic,104.7,109.4,-4.7,98.58,25,57,0.305
1610612755,Philadelphia 76ers,108.5,103.9,4.6,100.75,52,30,0.634
1610612756,Phoenix Suns,102.8,111.7,-9.0,101.14,21,61,0.256
1610612757,Portland Trail Blazers,108.4,105.7,2.7,97.11,49,33,0.598
1610612758,Sacramento Kings,103.1,110.4,-7.3,95.5,27,55,0.329
1610612759,San Antonio Spurs,107.1,104.1,3.0,95.7,47,35,0.573
1610612761,Toronto Raptors,113.0,105.3,7.7,98.02,59,23,0.72
1610612762,Utah Jazz,107.4,103.0,4.4,96.58,48,34,0.585
1610612764,Washington Wizards,108.1,107.7,0.4,97.67,43,39,0.524
