TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,115.4,113.7,1.6,98.67,43,39,0.524
1610612738,Boston Celtics,113.6,106.2,7.4,97.26,51,31,0.622
1610612751,Brooklyn Nets,113.2,112.3,0.9,99.4,44,38,0.537
1610612766,Charlotte Hornets,113.6,113.1,0.5,100.52,43,39,0.524
1610612741,Chicago Bulls,112.7,113.2,-0.5,98.76,46,36,0.561
1610612739,Cleveland Cavaliers,111.0,108.9,2.1,96.83,44,38,0.537
1610612742,Dallas Mavericks,112.5,109.1,3.5,95.64,52,30,0.634
1610612743,Denver Nuggets,113.8,111.5,2.3,98.41,48,34,0.585
1610612765,Detroit Pistons,105.6,113.3,-7.7,98.81,23,59,0.28
1610612744,Golden State Warriors,112.1,106.6,5.5,98.74,53,29,0.646
1610612745,Houston Rockets,108.1,116.4,-8.3,101.16,20,62,0.244
1610612754,Indiana Pacers,111.9,115.5,-3.6,98.55,25,57,0.305
1610612746,LA Clippers,109.5,109.5,0.0,98.51,42,40,0.512
1610612747,Los Angeles Lakers,110.0,112.8,-2.9,100.47,33,49,0.402
1610612763,Memphis Grizzlies,114.3,108.9,5.3,100.52,56,26,0.683
1610612748,Miami Heat,113.0,108.4,4.5,96.53,53,29,0.646
1610612749,Milwaukee Bucks,114.3,111.1,3.2,100.59,51,31,0.622
1610612750,Minnesota Timberwolves,113.8,111.0,2.7,101.47,46,36,0.561
1610612740,New Orleans Pelicans,111.2,112.0,-0.8,98.02,36,46,0.439
1610612752,New York Knicks,109.7,110.2,-0.4,96.42,37,45,0.451
1610612760,Oklahoma City Thunder,103.8,111.7,-8.0,99.39,24,58,0.293
1610612753,Orlando Magic,103.9,112.1,-8.1,99.71,22,60,0.268
1610612755,Philadelphia 76ers,113.0,110.2,2.8,96.71,51,31,0.622
1610612756,Phoenix Suns,114.2,106.8,7.5,100.26,64,18,0.78
1610612757,Portland Trail Blazers,107.3,116.3,-9.1,98.74,27,55,0.329
1610612758,Sacramento Kings,109.6,114.8,-5.2,100.1,30,52,0.366
1610612759,San Antonio Spurs,111.9,111.7,0.2,100.51,34,48,0.415
1610612761,Toronto Raptors,112.1,109.9,2.2,96.63,48,34,0.585
1610612762,Utah Jazz,116.2,110.0,6.2,97.5,49,33,0.598
1610612764,Washington Wizards,110.2,113.6,-3.4,97.8,35,47,0.427
