TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,37.7,91.8,118.2,23.2,15.5,11.9,32.6
1610612738,Boston Celtics,48.2,90.0,116.3,19.1,11.9,11.4,33.9
1610612751,Brooklyn Nets,39.4,86.1,105.1,20.7,15.2,10.9,30.4
1610612766,Charlotte Hornets,38.3,89.1,105.1,19.8,15.5,12.2,33.0
1610612741,Chicago Bulls,42.0,92.0,117.8,19.7,14.7,10.1,35.8
1610612739,Cleveland Cavaliers,41.5,90.8,121.9,21.9,13.2,11.2,34.2
1610612742,Dallas Mavericks,34.2,87.7,114.2,23.1,14.0,10.1,33.0
1610612743,Denver Nuggets,31.9,89.8,120.8,23.3,14.3,11.2,34.5
1610612765,Detroit Pistons,35.4,89.8,115.5,22.3,14.9,11.4,33.4
1610612744,Golden State Warriors,42.4,90.4,113.8,22.1,14.0,12.5,32.8
1610612745,Houston Rockets,35.8,93.4,114.3,22.6,13.9,14.6,33.8
1610612754,Indiana Pacers,35.8,89.3,117.4,21.6,13.2,9.2,32.7
1610612746,LA Clippers,33.4,86.3,112.9,21.7,14.9,10.3,33.5
1610612747,Los Angeles Lakers,36.4,85.5,113.4,23.2,14.0,9.7,32.8
1610612763,Memphis Grizzlies,37.9,93.3,121.7,23.3,15.7,12.9,34.4
1610612748,Miami Heat,37.3,87.0,110.6,20.2,13.6,9.7,33.7
1610612749,Milwaukee Bucks,36.6,86.4,115.5,23.1,13.4,8.2,35.1
1610612750,Minnesota Timberwolves,39.9,87.6,114.3,21.8,14.5,11.1,33.2
1610612740,New Orleans Pelicans,34.6,89.9,109.8,21.9,14.6,12.1,31.5
1610612752,New York Knicks,34.1,89.2,115.8,20.7,13.3,10.9,31.8
1610612760,Oklahoma City Thunder,38.8,92.7,120.5,20.4,11.7,10.6,34.2
1610612753,Orlando Magic,35.3,85.8,105.4,23.0,14.2,11.1,30.7
1610612755,Philadelphia 76ers,37.2,87.4,109.6,22.5,13.6,10.4,29.4
1610612756,Phoenix Suns,38.0,86.3,113.6,20.8,14.1,9.5,32.9
1610612757,Portland Trail Blazers,37.7,90.2,110.9,22.2,16.0,13.4,31.4
1610612758,Sacramento Kings,35.2,90.1,115.7,21.2,13.3,11.0,33.2
1610612759,San Antonio Spurs,39.6,89.8,113.9,21.0,13.9,10.9,32.7
1610612761,Toronto Raptors,34.0,91.0,110.9,21.1,15.3,12.6,32.5
1610612762,Utah Jazz,39.8,88.7,111.9,22.4,17.2,12.0,33.4
1610612764,Washington Wizards,39.1,89.9,108.0,20.6,15.6,10.6,33.1
